#  Contiguous U.S. 12-Month Period Average Temperature
# Units: Degrees Fahrenheit
# Base Period: 1901-2000
Date,Value,Anomaly
189512,50.33,-1.68
189601,50.73,-1.27
189602,51.43,-0.58
189603,51.27,-0.75
189604,51.22,-0.8
189605,51.43,-0.59
189606,51.61,-0.41
189607,51.81,-0.21
189608,51.86,-0.16
189609,51.64,-0.38
189610,51.73,-0.29
189611,51.66,-0.35
189612,51.98,-0.03
189701,51.7,-0.3
189702,51.57,-0.44
189703,51.63,-0.39
189704,51.53,-0.49
189705,51.42,-0.6
189706,51.28,-0.74
189707,51.25,-0.77
189708,51.17,-0.85
189709,51.46,-0.56
189710,51.73,-0.29
189711,51.94,-0.07
189712,51.54,-0.47
189801,51.75,-0.25
189802,51.92,-0.09
189803,52.11,0.09
189804,52.07,0.05
189805,51.97,-0.05
189806,52.07,0.05
189807,52.07,0.05
189808,52.18,0.16
189809,52.11,0.09
189810,51.81,-0.21
189811,51.6,-0.41
189812,51.42,-0.59
189901,51.34,-0.66
189902,50.52,-1.49
189903,50.23,-1.79
189904,50.22,-1.8
189905,50.21,-1.81
189906,50.15,-1.87
189907,50.14,-1.88
189908,50.05,-1.97
189909,50,-2.02
189910,50.2,-1.82
189911,50.75,-1.26
189912,50.99,-1.02
190001,51.36,-0.64
190002,51.8,-0.21
190003,52.11,0.09
190004,52.19,0.17
190005,52.34,0.32
190006,52.48,0.46
190007,52.49,0.47
190008,52.58,0.56
190009,52.61,0.59
190010,52.81,0.79
190011,52.53,0.52
190012,52.76,0.75
190101,52.56,0.56
190102,52.48,0.47
190103,52.44,0.42
190104,52.25,0.23
190105,52.2,0.18
190106,52.05,0.03
190107,52.31,0.29
190108,52.34,0.32
190109,52.18,0.16
190110,52.1,0.08
190111,52.11,0.1
190112,51.86,-0.15
190201,51.73,-0.27
190202,51.87,-0.14
190203,51.94,-0.08
190204,52.06,0.04
190205,52.13,0.11
190206,52.09,0.07
190207,51.74,-0.28
190208,51.59,-0.43
190209,51.55,-0.47
190210,51.46,-0.56
190211,51.63,-0.38
190212,51.57,-0.44
190301,51.64,-0.36
190302,51.39,-0.62
190303,51.44,-0.58
190304,51.39,-0.63
190305,51.18,-0.84
190306,51,-1.02
190307,51,-1.02
190308,50.96,-1.06
190309,50.96,-1.06
190310,50.92,-1.1
190311,50.63,-1.38
190312,50.61,-1.4
190401,50.33,-1.67
190402,50.6,-1.41
190403,50.56,-1.46
190404,50.5,-1.52
190405,50.55,-1.47
190406,50.66,-1.36
